F1,F2,F3,F4,F5,ID,X,Y,Class
-84.761887,31.184496,10.3,15.9,56.28,13,713276.744997,3452206.58417,0
-84.76191,31.184556,9.3,15.7,56.557,15,713274.409038,3452213.1695,0
-84.761918,31.184575,8.5,15.4,56.635,16,713273.5449,3452215.3481,0
-84.761926,31.184595,7.5,14.6,56.676,17,713272.737728,3452217.53894,0
-84.761935,31.184615,6.7,13.1,56.746,18,713271.902858,3452219.68485,0
-84.761943,31.184635,6.3,10.8,56.796,19,713271.085931,3452221.88658,0
-84.761953,31.184654,6.8,10.0,56.77,20,713270.043163,3452223.93956,0
-84.761961,31.184673,6.2,9.5,56.829,21,713269.274118,3452226.13117,0
-84.761968,31.184694,7.6,11.4,56.901,22,713268.571121,3452228.35739,0
-84.761976,31.184714,7.3,10.4,56.942,23,713267.773482,3452230.54842,0
-84.761983,31.184734,7.2,12.0,56.959,24,713267.030789,3452232.85148,0
-84.761991,31.184755,6.0,11.3,56.991,25,713266.192557,3452235.16369,0
-84.761999,31.184776,6.3,10.5,57.053,26,713265.402207,3452237.46578,0
-84.762006,31.184797,5.3,9.7,57.111,27,713264.639778,3452239.80172,0
-84.762014,31.184819,4.8,8.9,57.137,28,713263.905721,3452242.14931,0
-84.762021,31.18484,5.1,9.8,57.165,29,713263.171663,3452244.49691,0
-84.762028,31.184862,5.8,11.4,57.183,30,713262.427402,3452246.87757,0
-84.762036,31.184883,5.4,11.8,57.203,31,713261.616868,3452249.23472,0
-84.762044,31.184904,5.2,12.0,57.15,32,713260.87328,3452251.58212,0
-84.762051,31.184926,5.2,10.5,57.145,33,713260.110405,3452253.94022,0
-84.762058,31.184947,5.4,11.6,57.133,34,713259.348203,3452256.26507,0
-84.762066,31.184968,5.7,10.7,57.14,35,713258.595085,3452258.61228,0
-84.762073,31.18499,5.9,10.1,57.109,36,713257.841742,3452260.97058,0
-84.762081,31.185011,4.9,9.8,57.06,37,713257.060702,3452263.28395,0
-84.762089,31.185032,4.8,9.3,57.064,38,713256.279439,3452265.60841,0
-84.762096,31.185053,5.4,9.1,57.045,39,713255.545384,3452267.95601,0
-84.762103,31.185074,5.3,7.7,57.011,40,713254.773204,3452270.30283,0
-84.762111,31.185095,5.4,8.4,56.982,41,713254.03074,3452272.59481,0
-84.762118,31.185117,4.9,7.8,56.96,42,713253.258112,3452274.96381,0
-84.762127,31.18514,5.4,7.5,56.937,43,713252.424705,3452277.50904,0
-84.762135,31.185165,5.2,7.0,56.904,44,713251.595671,3452280.30946,0
-84.762144,31.18519,6.3,8.4,56.863,45,713250.691955,3452283.03073,0
-84.762152,31.185215,5.8,8.4,56.826,46,713249.835449,3452285.77513,0
-84.76216,31.18524,5.4,7.2,56.835,47,713249.045663,3452288.52089,0
-84.762168,31.185264,5.2,7.2,56.851,48,713248.227956,3452291.23281,0
-84.762176,31.185288,4.0,6.9,56.87,49,713247.410923,3452293.91147,0
-84.762184,31.185313,3.8,7.2,56.902,50,713246.526945,3452296.59986,0
-84.762194,31.185337,3.7,8.0,56.947,51,713245.594861,3452299.30947,0
-84.762202,31.185362,3.5,7.9,56.935,52,713244.70068,3452302.03093,0
-84.762211,31.185387,3.3,8.7,56.969,53,713243.78766,3452304.74092,0
-84.76222,31.185412,3.5,9.8,56.959,54,713242.940912,3452307.47443,0
-84.762228,31.185437,3.7,9.1,56.966,55,713242.074878,3452310.21865,0
-84.762237,31.185461,3.5,9.2,56.929,56,713241.162083,3452312.91755,0
-84.762246,31.185486,4.0,9.7,56.935,57,713240.267231,3452315.67228,0
-84.762254,31.185511,3.5,9.5,56.883,58,713239.40187,3452318.38323,0
-84.762263,31.185536,3.9,10.2,56.862,59,713238.526306,3452321.12725,0
-84.762272,31.18556,3.7,9.2,56.851,60,713237.650966,3452323.86019,0
-84.76228,31.185585,3.6,8.7,56.834,61,713236.775851,3452326.58204,0
-84.762289,31.18561,3.4,7.5,56.806,62,713235.881673,3452329.3035,0
-84.762299,31.185634,3.6,7.4,56.79,63,713234.930083,3452332.03489,0
-84.762307,31.18566,3.6,8.1,56.762,64,713234.082442,3452334.81276,0
-84.762316,31.185684,2.9,7.8,56.746,65,713233.178958,3452337.52294,0
-84.762325,31.185709,3.6,6.7,56.726,66,713232.285007,3452340.23332,0
-84.762334,31.185734,3.2,6.7,56.684,67,713231.352032,3452342.98727,0
-84.762342,31.185759,3.3,7.1,56.626,68,713230.486452,3452345.70931,0
-84.762351,31.185783,3.4,7.0,56.595,69,713229.611115,3452348.44225,0
-84.76236,31.185808,2.9,6.4,56.57,70,713228.641587,3452351.11782,0
-84.762369,31.185833,2.4,6.5,56.551,71,713227.737433,3452353.86127,0
-84.762377,31.185858,3.0,6.5,56.523,72,713226.899775,3452356.61715,0
-84.762386,31.185882,2.6,6.5,56.501,73,713226.043503,3452359.35047,0
-84.762394,31.185907,2.7,6.2,56.488,74,713225.196539,3452362.09507,0
-84.762403,31.185932,2.4,6.3,56.479,75,713224.301918,3452364.83871,0
-84.762411,31.185957,2.9,6.3,56.461,76,713223.435891,3452367.58292,0
-84.76242,31.185982,3.1,6.6,56.436,77,713222.607542,3452370.35009,0
-84.762429,31.186007,3.6,6.7,56.395,78,713221.608974,3452373.04726,0
-84.762439,31.186032,3.6,6.5,56.394,79,713220.628123,3452375.81133,0
-84.762447,31.186056,3.1,6.3,56.347,80,713219.810204,3452378.53434,0
-84.762456,31.186082,3.7,7.3,56.329,81,713218.943507,3452381.31181,0
-84.762464,31.186107,3.5,7.3,56.294,82,713218.067951,3452384.05584,0
-84.762472,31.186132,3.8,7.4,56.286,83,713217.287262,3452386.82396,0
-84.762481,31.186156,3.9,7.3,56.262,84,713216.393766,3452389.51217,0
-84.76249,31.186181,3.7,7.9,56.287,85,713215.480086,3452392.25542,0
-84.762499,31.186206,3.7,8.4,56.258,86,713214.529178,3452394.95356,0
-84.762508,31.18623,4.2,9.6,56.225,87,713213.654298,3452397.66432,0
-84.762516,31.186255,3.5,8.7,56.212,88,713212.788725,3452400.38636,0
-84.762525,31.18628,3.4,8.3,56.216,89,713211.922255,3452403.15275,0
-84.762534,31.186304,4.3,9.2,56.185,90,713211.018781,3452405.86294,0
-84.762543,31.186329,3.6,9.0,56.163,91,713210.095797,3452408.59491,0
-84.762551,31.186354,4.4,9.1,56.155,92,713209.286741,3452411.35137,0
-84.762559,31.186379,3.8,8.6,56.131,93,713208.468154,3452414.10764,0
-84.762567,31.186404,3.4,7.8,56.121,94,713207.573989,3452416.82911,0
-84.762576,31.186429,3.8,7.0,56.121,95,713206.680049,3452419.53948,0
-84.762586,31.186453,4.4,7.2,56.112,96,713205.738452,3452422.2489,0
-84.762594,31.186478,4.0,6.9,56.11,97,713204.901701,3452424.96043,0
-84.762603,31.186502,3.7,7.1,56.111,98,713203.979841,3452427.63697,0
-84.762612,31.186527,3.4,7.2,56.164,99,713203.09476,3452430.38081,0
-84.76262,31.186552,4.1,7.5,56.136,100,713202.238275,3452433.12522,0
-84.762629,31.186577,3.7,7.7,56.12,101,713201.305987,3452435.84591,0
-84.762637,31.186601,3.9,8.1,56.121,102,713200.449951,3452438.56815,0
-84.762646,31.186626,4.1,9.0,56.1,103,713199.546483,3452441.27833,0
-84.762656,31.186651,4.9,9.2,56.09,104,713198.594909,3452444.00973,0
