F1,F2,F3,F4,F5,ID,X,Y
-84.761887,31.184496,10.300000,15.900000,56.280000,"13",713276.74499699997,3452206.58417000016
-84.761910,31.184556,9.300000,15.700000,56.557000,"15",713274.40903800004,3452213.16949999984
-84.761918,31.184575,8.500000,15.400000,56.635000,"16",713273.54489999998,3452215.34810000006
-84.761926,31.184595,7.500000,14.600000,56.676000,"17",713272.73772800004,3452217.53893999988
-84.761935,31.184615,6.700000,13.100000,56.746000,"18",713271.90285800002,3452219.68484999985
-84.761943,31.184635,6.300000,10.800000,56.796000,"19",713271.08593099995,3452221.88658000017
-84.761953,31.184654,6.800000,10.000000,56.770000,"20",713270.04316300002,3452223.93955999985
-84.761961,31.184673,6.200000,9.500000,56.829000,"21",713269.27411799994,3452226.13116999995
-84.761968,31.184694,7.600000,11.400000,56.901000,"22",713268.57112099999,3452228.35739000002
-84.761976,31.184714,7.300000,10.400000,56.942000,"23",713267.77348199999,3452230.54841999989
-84.761983,31.184734,7.200000,12.000000,56.959000,"24",713267.03078899998,3452232.85148000019
-84.761991,31.184755,6.000000,11.300000,56.991000,"25",713266.19255699997,3452235.16368999984
-84.761999,31.184776,6.300000,10.500000,57.053000,"26",713265.40220699995,3452237.46578000020
-84.762006,31.184797,5.300000,9.700000,57.111000,"27",713264.63977799995,3452239.80171999987
-84.762014,31.184819,4.800000,8.900000,57.137000,"28",713263.90572100005,3452242.14930999978
-84.762021,31.184840,5.100000,9.800000,57.165000,"29",713263.17166300002,3452244.49691000022
-84.762028,31.184862,5.800000,11.400000,57.183000,"30",713262.42740199994,3452246.87757000001
-84.762036,31.184883,5.400000,11.800000,57.203000,"31",713261.61686800001,3452249.23472000007
-84.762044,31.184904,5.200000,12.000000,57.150000,"32",713260.87328000006,3452251.58211999992
-84.762051,31.184926,5.200000,10.500000,57.145000,"33",713260.11040500004,3452253.94022000022
-84.762058,31.184947,5.400000,11.600000,57.133000,"34",713259.34820300003,3452256.26507000020
-84.762066,31.184968,5.700000,10.700000,57.140000,"35",713258.59508500004,3452258.61228000000
-84.762073,31.184990,5.900000,10.100000,57.109000,"36",713257.84174199996,3452260.97057999996
-84.762081,31.185011,4.900000,9.800000,57.060000,"37",713257.06070200005,3452263.28395000007
-84.762089,31.185032,4.800000,9.300000,57.064000,"38",713256.27943899995,3452265.60840999987
-84.762096,31.185053,5.400000,9.100000,57.045000,"39",713255.54538400006,3452267.95600999985
-84.762103,31.185074,5.300000,7.700000,57.011000,"40",713254.77320399997,3452270.30282999994
-84.762111,31.185095,5.400000,8.400000,56.982000,"41",713254.03073999996,3452272.59481000016
-84.762118,31.185117,4.900000,7.800000,56.960000,"42",713253.25811199995,3452274.96381000010
-84.762127,31.185140,5.400000,7.500000,56.937000,"43",713252.42470500001,3452277.50903999992
-84.762135,31.185165,5.200000,7.000000,56.904000,"44",713251.59567099996,3452280.30946000014
-84.762144,31.185190,6.300000,8.400000,56.863000,"45",713250.69195500005,3452283.03073000023
-84.762152,31.185215,5.800000,8.400000,56.826000,"46",713249.83544900001,3452285.77512999997
-84.762160,31.185240,5.400000,7.200000,56.835000,"47",713249.04566299997,3452288.52088999981
-84.762168,31.185264,5.200000,7.200000,56.851000,"48",713248.22795600002,3452291.23280999996
-84.762176,31.185288,4.000000,6.900000,56.870000,"49",713247.41092299996,3452293.91147000017
-84.762184,31.185313,3.800000,7.200000,56.902000,"50",713246.52694500005,3452296.59985999996
-84.762194,31.185337,3.700000,8.000000,56.947000,"51",713245.59486099996,3452299.30947000021
-84.762202,31.185362,3.500000,7.900000,56.935000,"52",713244.70068000001,3452302.03092999989
-84.762211,31.185387,3.300000,8.700000,56.969000,"53",713243.78766000003,3452304.74091999978
-84.762220,31.185412,3.500000,9.800000,56.959000,"54",713242.94091200002,3452307.47442999994
-84.762228,31.185437,3.700000,9.100000,56.966000,"55",713242.07487799996,3452310.21865000017
-84.762237,31.185461,3.500000,9.200000,56.929000,"56",713241.16208299994,3452312.91754999990
-84.762246,31.185486,4.000000,9.700000,56.935000,"57",713240.26723100001,3452315.67228000006
-84.762254,31.185511,3.500000,9.500000,56.883000,"58",713239.40186999994,3452318.38322999980
-84.762263,31.185536,3.900000,10.200000,56.862000,"59",713238.52630599996,3452321.12724999990
-84.762272,31.185560,3.700000,9.200000,56.851000,"60",713237.65096600004,3452323.86018999992
-84.762280,31.185585,3.600000,8.700000,56.834000,"61",713236.77585099998,3452326.58203999978
-84.762289,31.185610,3.400000,7.500000,56.806000,"62",713235.88167300005,3452329.30349999992
-84.762299,31.185634,3.600000,7.400000,56.790000,"63",713234.93008299998,3452332.03488999978
-84.762307,31.185660,3.600000,8.100000,56.762000,"64",713234.08244200004,3452334.81276000012
-84.762316,31.185684,2.900000,7.800000,56.746000,"65",713233.17895800003,3452337.52294000005
-84.762325,31.185709,3.600000,6.700000,56.726000,"66",713232.28500699997,3452340.23332000012
-84.762334,31.185734,3.200000,6.700000,56.684000,"67",713231.35203199997,3452342.98726999993
-84.762342,31.185759,3.300000,7.100000,56.626000,"68",713230.48645199998,3452345.70930999983
-84.762351,31.185783,3.400000,7.000000,56.595000,"69",713229.61111499998,3452348.44224999985
-84.762360,31.185808,2.900000,6.400000,56.570000,"70",713228.64158699999,3452351.11781999981
-84.762369,31.185833,2.400000,6.500000,56.551000,"71",713227.73743300000,3452353.86127000023
-84.762377,31.185858,3.000000,6.500000,56.523000,"72",713226.89977500006,3452356.61714999983
-84.762386,31.185882,2.600000,6.500000,56.501000,"73",713226.04350300005,3452359.35046999995
-84.762394,31.185907,2.700000,6.200000,56.488000,"74",713225.19653900003,3452362.09506999981
-84.762403,31.185932,2.400000,6.300000,56.479000,"75",713224.30191799998,3452364.83870999981
-84.762411,31.185957,2.900000,6.300000,56.461000,"76",713223.43589099997,3452367.58291999996
-84.762420,31.185982,3.100000,6.600000,56.436000,"77",713222.60754200001,3452370.35008999985
-84.762429,31.186007,3.600000,6.700000,56.395000,"78",713221.60897399997,3452373.04725999990
-84.762439,31.186032,3.600000,6.500000,56.394000,"79",713220.62812300003,3452375.81132999994
-84.762447,31.186056,3.100000,6.300000,56.347000,"80",713219.81020399998,3452378.53433999978
-84.762456,31.186082,3.700000,7.300000,56.329000,"81",713218.94350699999,3452381.31180999987
-84.762464,31.186107,3.500000,7.300000,56.294000,"82",713218.06795099995,3452384.05584000004
-84.762472,31.186132,3.800000,7.400000,56.286000,"83",713217.28726200003,3452386.82396000018
-84.762481,31.186156,3.900000,7.300000,56.262000,"84",713216.39376600005,3452389.51217000000
-84.762490,31.186181,3.700000,7.900000,56.287000,"85",713215.48008600005,3452392.25541999983
-84.762499,31.186206,3.700000,8.400000,56.258000,"86",713214.52917800006,3452394.95355999982
-84.762508,31.186230,4.200000,9.600000,56.225000,"87",713213.65429800004,3452397.66431999998
-84.762516,31.186255,3.500000,8.700000,56.212000,"88",713212.78872499999,3452400.38635999989
-84.762525,31.186280,3.400000,8.300000,56.216000,"89",713211.92225499998,3452403.15274999989
-84.762534,31.186304,4.300000,9.200000,56.185000,"90",713211.01878100005,3452405.86293999990
-84.762543,31.186329,3.600000,9.000000,56.163000,"91",713210.09579699999,3452408.59490999999
-84.762551,31.186354,4.400000,9.100000,56.155000,"92",713209.28674100002,3452411.35136999981
-84.762559,31.186379,3.800000,8.600000,56.131000,"93",713208.46815400000,3452414.10764000006
-84.762567,31.186404,3.400000,7.800000,56.121000,"94",713207.57398900006,3452416.82910999982
-84.762576,31.186429,3.800000,7.000000,56.121000,"95",713206.68004899996,3452419.53947999980
-84.762586,31.186453,4.400000,7.200000,56.112000,"96",713205.73845199996,3452422.24890000001
-84.762594,31.186478,4.000000,6.900000,56.110000,"97",713204.90170100005,3452424.96042999998
-84.762603,31.186502,3.700000,7.100000,56.111000,"98",713203.97984100005,3452427.63696999988
-84.762612,31.186527,3.400000,7.200000,56.164000,"99",713203.09476000001,3452430.38081000000
-84.762620,31.186552,4.100000,7.500000,56.136000,"100",713202.23827500001,3452433.12521999981
-84.762629,31.186577,3.700000,7.700000,56.120000,"101",713201.30598700000,3452435.84591000015
