"PLOTNO","BLU_min","BLU_max","BLU_med","GRN_min","GRN_max","GRN_med","NIR_min","NIR_max","NIR_med","RGE_min","RGE_max","RGE_med","RED_min","RED_max","RED_med","CT_min","CT_max","CT_med","NDVI_min","NDVI_max","NDVI_med","EXG_min","EXG_max","EXG_med","OSAVI_min","OSAVI_max","OSAVI_med","SAVI_min","SAVI_max","SAVI_med","SAVIl_min","SAVIl_max","SAVIl_med","SAVIRE1_min","SAVIRE1_max","SAVIRE1_med","MSR_min","MSR_max","MSR_med","NDRE_min","NDRE_max","NDRE_med","VARI_min","VARI_max","VARI_med","CC1_min","CC1_max","CC1_med","Clgrn_min","Clgrn_max","Clgrn_med","ARI_min","ARI_max","ARI_med","TGI2_min","TGI2_max","TGI2_med","GLI2_min","GLI2_max","GLI2_med","SRRED_min","SRRED_max","SRRED_med","HTNDVI_min","HTNDVI_max","HTNDVI_med","NDVI_97_min","NDVI_97_max","NDVI_97_med","NDRE_97_min","NDRE_97_max","NDRE_97_med","ARI_97_min","ARI_97_max","ARI_97_med","altHT_97_min","altHT_97_max","altHT_97_med","CT_5_min","CT_5_max","CT_5_med","altHT.stdev_min","altHT.stdev_max","altHT.stdev_med","NIR.stdev_min","NIR.stdev_max","NIR.stdev_med","RGE.stdev_min","RGE.stdev_max","RGE.stdev_med","RED.stdev_min","RED.stdev_max","RED.stdev_med","GRN.stdev_min","GRN.stdev_max","GRN.stdev_med","BLU.stdev_min","BLU.stdev_max","BLU.stdev_med","CT.stdev_min","CT.stdev_max","CT.stdev_med","MScountplot_min","MScountplot_max","MScountplot_med","MScount_min","MScount_max","MScount_med","biovol_min","biovol_max","biovol_med","hills_min","hills_max","hills_med","PCplot_min","PCplot_max","PCplot_med","HTAVG","YLDTON","GERMPLASMNAME","row","col","REP","PRECTOTCORR","RH2M","T2M"
1,0.013248758,0.068449326,0.019404935,0.042923672,0.149494424,0.062991198,0.438116789,0.753300756,0.591948837,0.114987981,0.332511231,0.157172389,0.010597021,0.155202389,0.019299179,30.21146965,35.79039001,30.99315834,0.553430004,0.963308792,0.941179437,0.172368021,0.941526886,0.855234321,0.521015601,0.920466483,0.851742215,0.487113213,0.871753968,0.779674521,0.460511153,0.833931367,0.718833983,0.246147353,0.645981486,0.508756427,1.171205027,7.112127272,5.488110415,0.254362998,0.66938669,0.598779363,-0.057360688,0.819179495,0.666471085,0.314190397,0.785917997,0.731516469,2.752536982,12.47404299,9.130677514,2.067411628,8.419542913,6.062835953,2.97646677,4.958510527,3.622494348,0.123935391,0.571600787,0.528440605,3.478581223,53.50897192,33.00171481,0.515641288,1.158151184,0.984697806,0.741814078,0.97572947,0.964705881,0.351765492,0.744853929,0.668778091,2.960545978,13.53091014,10.14125493,0.802899933,1.298468666,1.146882629,29.82834673,35.35704041,30.47474861,0.022268765,0.26942055,0.032445424,0.064850679,0.148647008,0.081924707,0.020913816,0.090683034,0.034390237,0.002683078,0.068139918,0.007497306,0.008523185,0.04467813,0.017347572,0.002789083,0.026031506,0.005745283,0.30220239,0.677098805,0.348990289,7704,8380,7945,6186,8377,7898,1.501617455,2.710013954,2.414191968,43,53,49,0.795524691,0.999748617,0.991303219,104,5.81,"IR19A1327",1,1,1,5.57,90.25,23.98
2,0.01592168,0.045120072,0.02631757,0.055277979,0.103098355,0.088294566,0.338449597,0.856553227,0.67407915,0.146669537,0.240216546,0.208845943,0.013223168,0.119967677,0.026429787,30.24963284,35.63413811,31.17945671,0.467658463,0.954593724,0.933078999,0.074946522,0.96503811,0.878706828,0.378523644,0.932055242,0.872295829,0.319801341,0.907923409,0.82394618,0.283906823,0.888564944,0.779509007,0.15991515,0.626474037,0.523501385,0.906459951,6.335423177,5.10096328,0.202262866,0.628176759,0.570004869,-0.16553114,0.800201681,0.691369271,0.246574767,0.750922656,0.701960042,2.665450811,9.860030957,7.63738921,2.153068954,6.50427679,4.973345908,1.16551709,6.752745035,5.466029057,0.055176078,0.583100123,0.540331809,2.75698658,43.04677427,28.88598438,0.132055891,1.266878302,1.055380006,0.686865971,0.968030461,0.952869897,0.290512517,0.694859186,0.631064975,3.584470685,9.659363518,7.234051112,0.30735424,1.392482185,1.227784729,29.66508007,35.16713505,30.20174828,0.018533059,0.104674265,0.024311844,0.053291872,0.147740659,0.063733566,0.021951664,0.100304815,0.031718992,0.002908882,0.05893934,0.005440594,0.009524292,0.043013174,0.014568245,0.002826555,0.021175184,0.004322983,0.236958896,0.534598354,0.379258909,7775,8389,7884,5238,8389,7884,0.418410404,2.988280933,2.624147963,40,57,48,0.668282725,1,1,125.2,6.85,"IR17A2914",2,1,1,5.57,90.25,23.98
3,0.017488005,0.033025812,0.023729825,0.044390939,0.098237775,0.07568527,0.155682258,0.843991399,0.671624154,0.099546384,0.227971241,0.179827988,0.015047149,0.051401971,0.024740014,30.17734146,35.53380966,31.12725735,0.541508464,0.951478474,0.929914789,0.092188009,0.942194572,0.827503264,0.312000817,0.929329591,0.877224747,0.211288234,0.90300447,0.790172492,0.165210507,0.881471807,0.739389408,0.12487428,0.632590627,0.540918447,1.130979119,6.108671072,4.967581012,0.226824046,0.638436908,0.582622397,-0.110832706,0.780317942,0.661865949,0.284815206,0.757270098,0.710375567,2.823734055,9.988552374,8.021395395,2.213640894,6.535749178,5.230270225,0.523754708,6.063613208,4.421562609,0.067583412,0.571928862,0.514243007,3.362130707,40.21881921,27.53669068,0.161813118,1.211132289,1.008370984,0.779018329,0.964493501,0.95311716,0.448134772,0.707763285,0.636790391,4.305707136,9.754955664,8.007272338,0.806108093,1.334040298,1.170306664,29.54438782,34.97651443,30.35173302,0.018559154,0.175266873,0.021754234,0.053626261,0.156140997,0.06129393,0.022630808,0.110270822,0.032600808,0.003023208,0.063726738,0.007157667,0.01019811,0.047671472,0.01667878,0.003093727,0.022699652,0.005480741,0.259266153,0.655190879,0.421647393,7704,8361,7912,3598,8361,7884,0.321641626,2.85460496,2.437432363,28,54,50,0.462705761,1,1,122.2,7,"IR19A7067",3,1,1,5.57,90.25,23.98
4,0.011859996,0.044996861,0.022911587,0.043854848,0.112905644,0.077476259,0.392977521,0.706075609,0.579597235,0.113106716,0.239222392,0.178657301,0.010365657,0.100396521,0.026641596,30.21956635,35.80739975,31.04395199,0.620990805,0.966398023,0.917043067,0.294760824,1.03026112,0.83224812,0.531035174,0.908117502,0.847127597,0.449304679,0.847513223,0.768915508,0.401004624,0.802006706,0.71048631,0.23961286,0.621452703,0.510721958,1.426511557,7.455703256,4.502755705,0.281914834,0.671234227,0.546787314,0.0527291,0.813274008,0.629506846,0.356108039,0.78676495,0.677512529,2.842481894,12.52986099,6.919209322,2.05625883,8.523967476,4.500720672,3.016048845,5.397984728,3.856811367,0.205897955,0.614437956,0.516683808,4.276916831,58.52030708,23.10889508,0.506776117,1.037593718,0.870521401,0.770865872,0.977205561,0.954801711,0.376170651,0.746429858,0.651957526,3.772661437,14.52443377,8.257458656,0.762348862,1.164762459,1.022551575,29.72143097,35.27410316,30.20038633,0.016854819,0.1062989,0.030342075,0.069218924,0.152817839,0.08633429,0.020949438,0.090112682,0.04408823,0.002827918,0.048170498,0.010322686,0.009640051,0.045769761,0.020769353,0.002901584,0.019720517,0.007286556,0.271687542,0.573295257,0.390139911,7698,8394,7925,5427,8359,7784,1.297341227,2.478232017,2.123572531,39,55,48,0.692131106,0.997862979,0.989072427,96.6,5.93,"IR19A6717",4,1,1,5.57,90.25,23.98
5,0.010479321,0.036109414,0.026107002,0.02816613,0.107466966,0.085940398,0.124203116,0.809037328,0.666652411,0.066273678,0.243977375,0.191911511,0.017749252,0.063873857,0.026586954,30.29361439,36.38962173,31.11112404,0.702254714,0.948041579,0.901185575,0.333838112,0.988269015,0.821737205,0.368330953,0.91171629,0.85472287,0.228384027,0.878981073,0.799561704,0.172110504,0.852430105,0.758027359,0.140573686,0.576050316,0.48711587,1.820066329,5.881856307,4.054329681,0.317271317,0.58766824,0.500153185,0.111083945,0.76721735,0.609490761,0.405354967,0.716027151,0.634010393,3.473497058,8.2522423,5.804217479,2.517734172,5.666049334,3.794974588,1.032088422,6.649078701,5.267069327,0.231091767,0.594355885,0.511270422,5.717150879,37.49231677,19.23996046,0.525411949,1.038103582,0.874680396,0.792846354,0.961991421,0.931278594,0.392668799,0.658723443,0.577091116,3.624763112,10.66531865,6.862430765,0.75453701,1.202204018,1.102632751,29.87894955,35.90133095,30.50992212,0.022536728,0.128155154,0.032526524,0.049950462,0.12869541,0.071613374,0.024310277,0.078613115,0.039726561,0.003462014,0.031648709,0.010404209,0.011711121,0.03696361,0.020763711,0.003283145,0.013407941,0.006751178,0.220739424,0.598729303,0.366617307,7759,8366,7940,2995,8365,7868,0.642770125,2.537608979,2.23309773,21,55,48,0.385456885,1,0.999099794,107.6,3.72,"IRRI 123",5,1,1,5.57,90.25,23.98
6,0.012444806,0.034418035,0.015936291,0.041208731,0.10400407,0.050498955,0.398071721,0.720283568,0.611069232,0.110209465,0.211315632,0.133886829,0.010286496,0.070966475,0.013537318,30.03777122,34.91454506,31.01582336,0.709979876,0.966734583,0.957269517,0.46461518,0.950728113,0.879204886,0.6048558,0.916944505,0.874731794,0.509483527,0.859145543,0.798863193,0.451661784,0.815581316,0.737361395,0.28004309,0.652359833,0.553324793,1.864433812,7.495934215,6.549080471,0.331405832,0.694089018,0.618386346,0.211282765,0.810512138,0.712913298,0.42393894,0.80353068,0.747986747,3.112027851,13.89045666,10.69190683,2.128941461,9.338134516,7.44268136,2.771500862,4.800857,3.250164205,0.31219836,0.576114114,0.540582886,5.896073191,59.12249908,45.80499405,0.681404593,1.192564396,1.022329148,0.837761025,0.980052147,0.971085643,0.445142008,0.757335886,0.671041563,3.839142543,15.34181232,10.10920104,0.744128265,1.284299698,1.200788498,29.53746042,34.35921898,30.21199112,0.023660678,0.052467227,0.033420279,0.059391577,0.149951345,0.093176341,0.020751527,0.086224493,0.029215325,0.002496917,0.035122138,0.004188363,0.009146853,0.043140249,0.013711552,0.002737896,0.015339406,0.003922012,0.227545892,0.451271211,0.422041964,7676,8400,7937,6025,8369,7847,1.498050107,2.706642213,2.362977151,41,59,48,0.768592933,0.997863248,0.986240914,117.2,6.4,"IR19A1479",6,1,1,5.57,90.25,23.98
7,0.013303067,0.058012823,0.017406896,0.046401998,0.172809213,0.061059218,0.468907073,0.739792287,0.617188245,0.122012362,0.358123481,0.15582414,0.010968462,0.098932333,0.015340807,29.81546879,34.65921783,31.00481415,0.754894054,0.96398808,0.951817328,0.577968101,0.983746014,0.922762891,0.720366747,0.917983358,0.877100099,0.6453155,0.865586483,0.798081768,0.574444565,0.825484454,0.73464556,0.319185736,0.63070623,0.516975117,2.15637396,7.183953708,6.132296743,0.325891437,0.668874577,0.595538023,0.350650708,0.808288713,0.734827854,0.429679732,0.78508751,0.728377429,3.085150806,12.26253083,9.469615596,2.121462081,8.2041654,6.525276448,3.214115266,9.277109232,4.369330973,0.378749756,0.592172641,0.562344507,7.159736765,54.53716704,40.508698,0.632724085,1.184034835,1.033640234,0.83106049,0.975531442,0.96597695,0.403977659,0.72600252,0.644291158,2.814495145,12.2611665,8.829768911,0.692516327,1.274540405,1.182152596,29.54245377,34.22377701,30.26213264,0.015237636,0.101322037,0.026438932,0.055220972,0.212596637,0.067862722,0.016534371,0.105851443,0.030650951,0.001990545,0.030175496,0.005240867,0.007185868,0.050736709,0.014938947,0.002172241,0.017643095,0.004492079,0.205451652,0.501337889,0.305699187,7704,8284,7948,6275,8284,7948,1.453079446,2.714072785,2.380942675,46,61,50,0.806970165,1,0.998961578,115.6,7.33,"IR19A2057",7,1,1,5.57,90.25,23.98
8,0.013529152,0.046691801,0.017479405,0.051030813,0.131524488,0.064810839,0.498152256,0.761485219,0.627272308,0.134791508,0.291684493,0.158307508,0.011824755,0.075729191,0.015171073,29.76035881,34.55745316,31.1330452,0.785591814,0.96339103,0.948757537,0.564030913,1.069017756,0.986203241,0.737220442,0.92361977,0.89357282,0.678332803,0.876198274,0.810511353,0.609083922,0.839595624,0.75127546,0.346612704,0.616640975,0.555944137,2.399337083,7.120718982,5.927277211,0.356849044,0.646435968,0.575190416,0.362622552,0.813895064,0.775520275,0.469440766,0.770469139,0.711447309,3.715632368,11.57787165,8.495110229,2.594197722,7.912951213,5.878450224,3.565199398,6.835327661,4.465013582,0.37074524,0.632677458,0.593359231,8.328002067,53.6314211,38.03013022,0.410163925,1.18195466,1.027501192,0.872855088,0.976997387,0.967749539,0.451605545,0.708463694,0.634089152,3.686819684,11.93645217,8.315465554,0.668434639,1.333740921,1.08659565,29.45785637,34.00894165,30.56595392,0.01605023,0.129131887,0.023374537,0.062822767,0.198616075,0.082496391,0.021965024,0.097282796,0.0287093,0.002463553,0.03319885,0.003710686,0.008333003,0.045273443,0.012770763,0.002660307,0.018065198,0.003551756,0.174949407,0.54412918,0.331028728,7704,8400,7946,6311,8370,7928,0.94734145,2.882778106,2.352873122,38,57,46,0.819184839,0.999262899,0.996428571,118.8,4.68,"IR19A2676",8,1,1,5.57,90.25,23.98
9,0.017695786,0.036941908,0.022215182,0.059131976,0.106711127,0.078040935,0.465328217,0.808059663,0.653362364,0.146557778,0.247373044,0.19604028,0.015460686,0.066878542,0.019770905,29.80705833,35.01073456,31.21465111,0.750951166,0.95426813,0.937764056,0.508163699,0.991141288,0.918971021,0.644165556,0.925266917,0.892717132,0.555524754,0.890258957,0.818820361,0.499995672,0.862182392,0.764637132,0.268522097,0.607516407,0.543332625,2.128062786,6.310676843,5.31603631,0.314766887,0.622841302,0.550120477,0.287854703,0.784325849,0.765493447,0.419188911,0.749953021,0.686326433,3.419823811,9.90155607,7.405643779,2.520601345,6.601502776,4.958948015,4.036411109,6.341756112,5.32695444,0.33816232,0.595740271,0.560465401,7.030553551,42.73317876,31.13577016,0.308225247,1.182978192,1.044478282,0.839399692,0.969357632,0.956531885,0.390081223,0.678078504,0.603108907,3.948622906,9.371615664,6.551460226,0.616130524,1.328134155,1.122742233,29.57132244,34.25117626,30.68343124,0.029663074,0.091609727,0.034433871,0.054698,0.17948114,0.065271522,0.020993953,0.109690672,0.029088221,0.002796178,0.0425462,0.004088096,0.009374856,0.046941382,0.013928547,0.002984551,0.01707525,0.004030775,0.171286243,0.581389945,0.397757833,7683,8416,7931,6318,8416,7870,0.765289211,2.799124173,2.378466812,36,55,49,0.805764571,1,1,132.8,5.69,"IR19A2695",9,1,1,5.57,90.25,23.98
10,0.010543212,0.027089354,0.01691889,0.022664959,0.074707665,0.046080654,0.104098748,0.626755953,0.533100158,0.060888041,0.176990718,0.116281193,0.010537679,0.045988269,0.019539798,29.95181561,35.27297592,31.13771534,0.694512905,0.96139873,0.934199531,0.216281881,0.82144564,0.790669767,0.322597177,0.889671801,0.83009867,0.191534926,0.807273407,0.747476671,0.141881088,0.748480234,0.674275587,0.111929707,0.631124327,0.49772936,1.777046873,6.920185689,5.150390402,0.284661709,0.698500457,0.566413679,0.060401045,0.745884238,0.625555805,0.37531542,0.806416169,0.699069224,3.981383262,14.13414383,8.058646984,3.197008018,9.492536293,5.44231545,0.586457531,4.588702723,2.937846259,0.15389048,0.511119922,0.495131039,5.546921399,50.81176745,29.39492038,0.285290293,1.064285463,0.876447443,0.843073619,0.979717931,0.956214581,0.37795187,0.763046927,0.625119049,4.413691095,15.7946943,7.619700676,0.671324043,1.161365814,1.02186409,29.75401115,34.60040874,30.48138714,0.020797933,0.253689416,0.026100525,0.056086237,0.112469887,0.077211696,0.016640577,0.074264181,0.035929605,0.002557472,0.031413038,0.008282293,0.007695035,0.03202558,0.017303182,0.002721011,0.011832755,0.00606427,0.15473044,0.483265913,0.377984395,7693,8325,7922,2910,8321,7759,0.376234788,2.480046948,2.107739988,26,55,52,0.374228395,1,0.997403946,95.8,6.73,"IR19A7140",10,1,1,5.57,90.25,23.98
